youID,title,accountName,pub_date,description,link,duration,TotalComments,Avglength,TotalReplies
Q58PRpv0FNs,Social Emotional Health  A Critical Building Block for Children&#39;s Learning,NC Early Childhood Foundation,2018-06-01T14:08:53Z,What is healthy social-emotional development in young children? Why is it a critical building block for children's learning?,https://www.youtube.com/watch?v=Q58PRpv0FNs,3537,0,0,0
_7VQApaO6k4,"Fine Motor, Gross Motor Skills, Speech And Emotional Development in Toddlers | 2 Year Old Milestones",Mariya Stephenson,2019-08-09T01:05:09Z,toddler #toddlerdevelopment In today's video I'm going over all major milestones for a 2 year old and some red flags to consider.,https://www.youtube.com/watch?v=_7VQApaO6k4,821,3,292.67,3
4od2iiWoyRw,Emotional Development in Infants,Catherine R,2014-12-18T02:37:47Z,"Explanation and examples of emotional development in infants from 1-month to 12-months. For more info on babies, toddlers, and ...",https://www.youtube.com/watch?v=4od2iiWoyRw,1144,2,141.5,0
Q-j2REWQvfY,Support Children&#39;s Social-Emotional Development,Teaching Strategies for Early Childhood Education,2019-06-19T17:38:41Z,"Learn tips, guidance and strategies for emotional-social development through our new video series. Teaching Strategies is ...",https://www.youtube.com/watch?v=Q-j2REWQvfY,81,1,52,1
pSGVb60-BSw,A Life-Changing Therapy For Children With Autism At The Child Study Center,Yale Medicine,2019-05-08T20:09:16Z,"For more information on the Child Study Center or #YaleMedicine, visit: ...",https://www.youtube.com/watch?v=pSGVb60-BSw,305,68,277.21,208
XzSL01wwsWQ,Social and Emotional Development is Important,The Making of You,2018-06-05T09:06:25Z,"Social and Emotional Learning has very become important around the globe, It not only helps to regulate emotions and form ...",https://www.youtube.com/watch?v=XzSL01wwsWQ,159,3,123,0
H_O1brYwdSY,5 Incredibly Fun GAMES to Teach Self-Regulation (Self-Control) | Social Emotional Learning,Kreative Leadership,2017-10-27T18:59:20Z,"Social-emotional learning (SEL) is the process of developing the self-awareness, self-regulation, and interpersonal skills that are ...",https://www.youtube.com/watch?v=H_O1brYwdSY,474,91,139.98,89
Qjfy-8LshGw,Peter Fonagy: Emotional Regulation in Young Children,Simms/Mann Institute,2016-11-18T23:45:23Z,,https://www.youtube.com/watch?v=Qjfy-8LshGw,285,0,0,0
jl8G2jiSNA0,The Emotions Book,TFC: The Feelings Channel,2021-01-31T17:59:48Z,Read Aloud - The Emotions Book: A Little book about BIG Feelings.,https://www.youtube.com/watch?v=jl8G2jiSNA0,267,0,0,0
7FC4qRD1vn8,Toddlers regulate their behavior to avoid making adults angry,I-LABS UW,2014-10-07T16:01:31Z,"Toddlers who overhear adults disagreeing can use that emotional information to guide their own behavior, according to research ...",https://www.youtube.com/watch?v=7FC4qRD1vn8,135,0,0,0
ypZXUqqIkxM,Infant Toddler Social Emotional Development,Vanessa Bailey,2022-02-26T22:10:26Z,"Introduction & brief overview of infant/toddler (0-2 year old) social emotional development. Includes Erikson, Bandura & other ...",https://www.youtube.com/watch?v=ypZXUqqIkxM,1374,0,0,0
iYu8gM4Jkws,How To Teach Emotional Intelligence To Kids,Nicholeen Peck - Teaching Self Government,2020-05-12T12:15:02Z,"Emotional intelligence is really important, especially in today's world! How do we as parents teach emotional intelligence to our ...",https://www.youtube.com/watch?v=iYu8gM4Jkws,850,15,105.47,6
Ab0ZUbaz9JA,Emotional Development of Children - Ages and Stages - Video,DiaperSurvey,2010-10-18T07:57:27Z,http://www.Pampers.com Learn about the emotional development stages of children by visiting the Pampers Village today!,https://www.youtube.com/watch?v=Ab0ZUbaz9JA,125,0,0,0
hO7kYb9qQ7I,Social-Emotional Development - 18 -to 36 Months,All About Young Children,2014-05-15T17:55:21Z,Examples of how children are learning about feelings and relationships for ages 18 months to 36 months (3 years) followed by a ...,https://www.youtube.com/watch?v=hO7kYb9qQ7I,395,0,0,0
#NAME?,The Feelings Song,Miss Molly,2018-03-28T14:00:01Z,https://www.missmollysongs.com Fun and educational sing along songs for children (and their teachers and parents) from Miss ...,https://www.youtube.com/watch?v=-J7HcVLsCrY,305,0,0,0
7n3zbCYHYPc,Dealing with Emotions Top 8 Books for toddlers #Montessoriwithhart,All Hart,2020-09-12T06:49:31Z,dealingwithemotions #booksforemotionaldevelopmentintoddlers #emotionaldevelopmentforchildren This video is all about ...,https://www.youtube.com/watch?v=7n3zbCYHYPc,929,3,151,2
yM6zh9oL3us,"Adult Toddlers, Part 1: Traits of Emotionally Immature Narcissists and Borderlines","Shrink4Men - Dr. Tara J. Palmatier, PsyD",2019-08-22T16:47:16Z,"Dr. Tara Palmatier, PsyD - http://www.shrink4men.com contact: shrink4men@gmail.com Facebook: ...",https://www.youtube.com/watch?v=yM6zh9oL3us,1410,171,298.65,95
jUXa8I_V1pQ,Social Emotional Development of Young Children (English),CSUN Family Focus Resource Center,2021-06-14T20:00:08Z,Hosted by Family Focus Resource Center Presented by Celina Aguilar of Developing Mindful Lives and the DOT Parent.,https://www.youtube.com/watch?v=jUXa8I_V1pQ,4924,0,0,0
Dihyndfjx3A,Socio-emotional Development of infants and toddler,Trixxie Leigh Omictin,2020-03-18T01:54:57Z,Socio-emotional Development of infants and toddler.,https://www.youtube.com/watch?v=Dihyndfjx3A,701,2,10.5,1
VbUYFze86r8,Level 2 5 Toddler Emotional Development pt 1,CSUP - Psych 251,2020-06-13T23:31:07Z,,https://www.youtube.com/watch?v=VbUYFze86r8,787,0,0,0
HtDIFA5KhWo,How to overcome Childhood Emotional Neglect | Kati Morton,Kati Morton,2018-02-26T19:24:09Z,"I'm Kati Morton, a licensed therapist making Mental Health videos! #katimorton #therapist #therapy UPDATE ...",https://www.youtube.com/watch?v=HtDIFA5KhWo,578,3640,300.92,3165
kPV5PTlp1nA,Social and Emotional Development in Infancy and Toddlerhood,Whatever Wonderful,2020-10-02T09:34:18Z,A short presentation on Social and Emotional Development in Infancy and Toddlerhood. Topics covered are: What is ...,https://www.youtube.com/watch?v=kPV5PTlp1nA,850,3,144.67,2
vXvOGwJuPNI,"5 Year Old Milestones &amp; Development // Social/Emotional,  Language, Cognitive, Fine &amp; Gross Motor",Nekole Amber,2021-05-05T16:11:52Z,"5 Year Old Milestones & Development // Social/Emotional, Language, Cognitive, Fine & Gross Motor skills for child development ...",https://www.youtube.com/watch?v=vXvOGwJuPNI,417,19,74.37,5
706c5-Ndvi0,Feelings - Emotional Growth ｜Learn to understand others&#39; feelings｜BabyBus Kids Games,BabyBus - Kids Songs and Cartoons,2016-08-12T07:25:46Z,This educational game teaches children to Recognize When They have a specific feeling. Toddlers experience many of the same ...,https://www.youtube.com/watch?v=706c5-Ndvi0,618,0,0,0
S7eFTc7VeJU,Get Kids to Identify Emotions | Feelings Books for Preschoolers | Toddler Emotional Development,Courtney Belanger,2019-08-08T04:23:00Z,Need to start helping your kids understand their feelings and how to deal with them? Then check out these emotional ...,https://www.youtube.com/watch?v=S7eFTc7VeJU,74,0,0,0
0DGl3TNo51Y,4 Emotional and social development of infants and toddlers,Spilkin Miramar,2020-08-20T08:22:51Z,,https://www.youtube.com/watch?v=0DGl3TNo51Y,3647,0,0,0
NtqzHObTVyk,Teaching children how to manage emotions,Marie Leiner,2017-06-20T16:32:04Z,"It includes successful stories about how children learn to use their emotions by being impatient, breaking other's things and ...",https://www.youtube.com/watch?v=NtqzHObTVyk,492,0,0,0
azQGuObWX0A,Classroom Tools for Social Emotional Development,Jeanne Hopkins,2015-11-11T17:30:37Z,This video provides and overview and demonstration of teaching tools for young children from the Center on the Social and ...,https://www.youtube.com/watch?v=azQGuObWX0A,488,4,169.25,4
IisSdwV1dBY,COVID-19 Social and Emotional Development for Children and adults,MasonCEHD,2020-08-11T20:22:55Z,,https://www.youtube.com/watch?v=IisSdwV1dBY,3307,0,0,0
3EyvaEk0K-k,"Children, Violence, and Trauma—Treatments That Work",Office for Victims of Crime,2013-02-27T14:12:01Z,"This video discusses the serious consequences of children's exposure to violence and trauma, such as substance abuse and ...",https://www.youtube.com/watch?v=3EyvaEk0K-k,370,49,292.57,108
uHBQbEP23kY,Whole Child Development,Sprouts,2020-10-30T15:35:39Z,The Ackermann theory of The Whole Child Development pays respect to the fact that there are many aspects of human potential ...,https://www.youtube.com/watch?v=uHBQbEP23kY,387,51,103.41,20
b_dF8_WzQGI,Narcissists Are Like Emotional Toddlers,Narc Survivor,2018-11-04T18:28:31Z,Website - https://www.narcsurvivor.co.uk Coaching - coaching@narcsurvivor.co.uk Donations - https://paypal.me/narcsurvivor ...,https://www.youtube.com/watch?v=b_dF8_WzQGI,878,76,221.21,40
bP4_XoPFOZA,"EMOTIONS, SELF-ESTEEM and EMPATHY for Kids - Compilation Video",Smile and Learn - English,2021-04-27T15:30:02Z,"Educational video for children to learn the basic emotions, improve their self-esteem with a fun exercise and discover what ...",https://www.youtube.com/watch?v=bP4_XoPFOZA,660,0,0,0
j9Tn7EoH1gI,Social-Emotional Development - Birth to 8 Months,All About Young Children,2014-05-15T17:55:35Z,Examples of how children are learning about feelings and relationships for ages birth to 8 months followed by a group discussion ...,https://www.youtube.com/watch?v=j9Tn7EoH1gI,347,0,0,0
TyA4NdYo1NM,4 Personal social developmental activities for toddlers | social emotional domain development,Nanhe Kadam,2020-09-28T01:34:44Z,Hello everyone! This is Vihaan Dubey from LKG. This boy is teaching how we can develop personal-social skills among children.,https://www.youtube.com/watch?v=TyA4NdYo1NM,229,0,0,0
O4QBTXeWmBc,Developmental Psychology - Socioemotional Development In Infancy  - CH5,R. J. Birmingham,2020-07-07T04:22:43Z,This lecture was created for Developmental Psychology course. It is based off the material from a popular college textbook ...,https://www.youtube.com/watch?v=O4QBTXeWmBc,4506,3,70,5
f4UezOrCJX8,"Personal, Social and Emotional Development Activities | EYFS Focus #6",Famly,2021-11-30T15:03:23Z,"The 2021 EYFS Framework features some key changes compared to its predecessor, so it's a good idea to keep in mind the ...",https://www.youtube.com/watch?v=f4UezOrCJX8,295,1,13,0
8AWoKOza3NM,Supporting Children&#39;s Social and Emotional Development by Mind Brain Parenting,Jenny Woo,2019-03-28T21:31:38Z,Webinar presented by Harvard-trained educational neuroscientist on how to support children's social and emotional development.,https://www.youtube.com/watch?v=8AWoKOza3NM,2962,0,0,0
wU6FXqZ1240,Level 2 5 Toddler Emotional Development pt 2,CSUP - Psych 251,2020-06-13T23:43:44Z,,https://www.youtube.com/watch?v=wU6FXqZ1240,661,0,0,0
wvNYcuA-9Cg,Age 6 &amp; Age 7 Emotional Milestones | Child Development,Howcast,2013-09-29T11:55:32Z,Full Playlist: https://www.youtube.com/playlist?list=PLLALQuK1NDrjbMxEhMd41O9M-QqMG96v2 - - Watch more Child ...,https://www.youtube.com/watch?v=wvNYcuA-9Cg,92,4,23.5,0
wvNYcuA-9Cg,Age 6 &amp; Age 7 Emotional Milestones | Child Development,Howcast,2013-09-29T11:55:32Z,Full Playlist: https://www.youtube.com/playlist?list=PLLALQuK1NDrjbMxEhMd41O9M-QqMG96v2 - - Watch more Child ...,https://www.youtube.com/watch?v=wvNYcuA-9Cg,92,4,23.5,0
4bUPl-qPg38,Why Is Nutrition Important for Young Children?,Healthy Eating,2021-05-19T18:00:19Z,"In this episode of Ask a Nutritionist, Registered Dietitian Nutritionist, Bessie O'Connor, answers the question, “How does good ...",https://www.youtube.com/watch?v=4bUPl-qPg38,263,2,12.5,0
pLpkn3ItwWU,1100 03.4 - Infant Social Development,Barton Poulson,2012-09-23T17:47:37Z,"Video lecture for PSY 1100: Lifespan Development. This video covers Chapter 03: Infancy, Part 4: Cognitive Development.",https://www.youtube.com/watch?v=pLpkn3ItwWU,507,1,44,0
OUSss6imZOM,Social Emotional Developmental Milestones CDC,LEADERSproject,2020-08-06T20:38:20Z,Social emotional developmental milestones published by the CDC are reviewed. Non-CEU certificates of completion can be ...,https://www.youtube.com/watch?v=OUSss6imZOM,686,0,0,0
